params,train_mse,val_mse,train_r2,val_r2
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",0.002801398904282385,0.012492672395177973,0.9797143939091082,0.9093169653991782
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",0.007844427753758374,0.01310668329387413,0.9431919454255787,0.9048561760681405
"{'learning_rate': 0.03, 'max_depth': 5, 'n_estimators': 100}",0.005308264809574773,0.014140484877972967,0.9615576723820943,0.8973505942978987
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50}",0.0069827928025425435,0.01530755121582803,0.9494303203136465,0.8888834996387821
"{'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 100}",0.01163077439918896,0.015941797981952752,0.915770891519536,0.884330315944716
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50}",0.013823590405404693,0.017891835014402273,0.8998897808281285,0.8701489840571849
"{'learning_rate': 0.03, 'max_depth': 5, 'n_estimators': 50}",0.016662011705780924,0.02352267007233346,0.8793337608042352,0.8292288550513713
"{'learning_rate': 0.03, 'max_depth': 3, 'n_estimators': 50}",0.024854593983283536,0.027912313925535844,0.8200059884782778,0.7974494922688683
